"total_time","status","distance","air_time","month","day_of_week","day","scheduled_departure","late_night_departure","departure_delay","scheduled_arrival","arrival_delay","airline","destination_airport","state","latitude","longitude"
156,"delayed",449,99,"11","Wed",11,1502,FALSE,3,1645,53,"OO","MOT","ND",48.25938,-101.28033
236,"delayed",1276,189,"4","Mon",6,1740,FALSE,9,1910,26,"WN","PHX","AZ",33.43417,-112.00806
199,"delayed",1124,128,"12","Wed",16,1932,FALSE,10,2319,32,"DL","BOS","MA",42.36435,-71.00518
200,"delayed",931,123,"5","Fri",8,1740,FALSE,67,2107,53,"DL","DCA","VA",38.85208,-77.03772
247,"delayed",936,125,"7","Tue",14,1515,FALSE,98,1841,101,"DL","BWI","MD",39.1754,-76.6682
181,"delayed",907,161,"8","Mon",17,1500,FALSE,3,1825,36,"DL","ATL","GA",33.64044,-84.42694
230,"delayed",349,63,"12","Mon",28,1728,FALSE,108,1914,124,"OO","MDW","IL",41.78598,-87.75242
216,"delayed",1310,154,"3","Tue",31,750,FALSE,43,1203,23,"NK","MCO","FL",28.42889,-81.31603
104,"on time",349,63,"7","Fri",24,1315,FALSE,28,1440,19,"WN","MDW","IL",41.78598,-87.75242
112,"on time",528,69,"3","Fri",6,1610,FALSE,24,1847,15,"DL","DTW","MI",42.21206,-83.34884
193,"delayed",282,39,"8","Fri",7,1738,FALSE,133,1852,119,"OO","OMA","NE",41.30252,-95.89417
414,"delayed",1276,167,"3","Thur",5,929,FALSE,226,1152,211,"NK","PHX","AZ",33.43417,-112.00806
122,"delayed",334,52,"3","Fri",6,720,FALSE,36,855,27,"AA","ORD","IL",41.9796,-87.90446
102,"delayed",408,56,"3","Fri",6,2030,FALSE,24,2248,24,"DL","GRR","MI",42.88082,-85.52277
184,"on time",1124,133,"8","Wed",12,1721,FALSE,29,2107,18,"DL","BOS","MA",42.36435,-71.00518
241,"delayed",1487,170,"1","Thur",22,115,FALSE,49,542,34,"NK","FLL","FL",26.07258,-80.15275
