"success","goal","duration","name_length","blurb_length","launch_hr","deadline_hr","created_at_hr","deadline_weekday","created_at_weekday","category","country","currency","launch_month","launch_weekday"
"FALSE",70000,60,8,14,21,21,18,"Saturday","Friday","Web","US","USD","Jun","Tue"
"FALSE",5000,30,4,13,13,13,15,"Sunday","Thursday","Web","US","USD","Aug","Fri"
"FALSE",12171,30,5,7,17,17,17,"Friday","Wednesday","Web","US","USD","Sep","Wed"
"FALSE",1000,14,4,14,19,19,9,"Tuesday","Monday","Web","AU","AUD","Feb","Tue"
"FALSE",1500,30,5,10,15,15,17,"Friday","Tuesday","Web","GB","GBP","Apr","Wed"
"FALSE",5e+05,45,8,15,17,17,18,"Saturday","Sunday","Web","US","USD","Oct","Wed"
"FALSE",20000,26.0735300925926,3,12,13,14,14,"Monday","Sunday","Web","US","USD","Jan","Wed"
"FALSE",1500,45,1,12,21,21,21,"Sunday","Thursday","Web","US","USD","Apr","Thu"
"FALSE",25000,30,7,17,13,13,2,"Friday","Wednesday","Web","US","USD","Nov","Wed"
"FALSE",13500,35.1012731481481,4,14,8,11,14,"Friday","Friday","Web","US","USD","Mar","Fri"
"FALSE",7000,29.1397685185185,1,10,10,14,10,"Friday","Wednesday","Web","US","USD","Apr","Thu"
"FALSE",5000,30,1,8,12,12,15,"Wednesday","Tuesday","Web","IT","EUR","Jan","Mon"
"FALSE",25000,30,1,14,20,20,1,"Friday","Monday","Web","FR","EUR","Jul","Wed"
"FALSE",2200,20,6,12,10,10,13,"Wednesday","Sunday","Web","GB","GBP","Mar","Thu"
"FALSE",30000,56.2556018518518,2,10,12,18,16,"Tuesday","Sunday","Web","US","USD","Apr","Tue"
"FALSE",2500,30,6,13,16,16,14,"Thursday","Saturday","Web","US","USD","Aug","Tue"
"FALSE",5000,30,7,14,8,8,13,"Friday","Thursday","Web","US","USD","Feb","Wed"
"FALSE",13500,60,7,13,14,14,9,"Saturday","Friday","Web","GB","GBP","Dec","Tue"
"FALSE",55000,30,3,13,10,10,19,"Wednesday","Monday","Web","US","USD","Dec","Mon"
"FALSE",10000,60,3,10,14,14,12,"Thursday","Wednesday","Web","US","USD","Feb","Sun"
"FALSE",1000,30,4,14,10,10,10,"Sunday","Thursday","Web","US","USD","Feb","Fri"
"FALSE",18000,60,2,14,14,14,20,"Thursday","Wednesday","Web","US","USD","Nov","Sun"
"FALSE",3000,30,1,14,15,15,13,"Wednesday","Friday","Web","GB","GBP","Jan","Mon"
"FALSE",10000,30,4,12,11,11,10,"Wednesday","Thursday","Web","US","USD","May","Mon"
"FALSE",12500,45,5,16,2,2,21,"Saturday","Monday","Web","CA","CAD","Jun","Wed"
"FALSE",12114,27.4124537037037,5,14,13,22,13,"Monday","Wednesday","Web","US","USD","Nov","Tue"
