"id","name","mobility","state","population","urban","seg_racial","seg_income","seg_poverty","seg_affluenc.e","commute","income","gini","share_01","gini_99","middle_class","local_tax_rate","local_gov_spending","progressivity","eitc","school_spending","student_teacher_ratio","colleges","tuition","graduation","labor_force_participation","manufacturing","teenage_labor","migration_in","migration_out","social_capital","longitude","latitude"
28702,"Glenwood Springs",0.169014081,"CO",131682,"rural",0.064,0.035,0.025,0.042,0.424,45256,0.528,29.671,0.232,0.527,0.067,5292,0,1.429,11.906,16.7,0.008,1980,-0.35,0.782,0.024,0.007,0.025,0.026,-0.212,-106.7265396,39.44956207
28703,"Granby",0.075471699,"CO",12442,"rural",0.022,0.003,0.001,0.003,0.458,40411,0.361,8.12,0.28,0.579,0.082,3926,0,1.429,6.111,14.9,NA,NA,NA,0.771,0.032,0.007,0.027,0.028,1.425,-106.0054932,40.10517502
28704,"Laramie",0.162866443,"WY",33591,"rural",0.036,0.059,0.039,0.074,0.755,26024,0.457,22.854,0.229,0.591,0.015,2985,0,0,6.262,14.5,0.06,2166,0.22,0.676,0.041,0.006,0.028,0.041,0.666,-106.1132126,41.11951447
28800,"Fort Collins",0.115367778,"CO",459601,"urban",0.123,0.08,0.077,0.081,0.388,37523,0.398,10.663,0.291,0.538,0.029,3164,0,1.429,5.458,18.9,0.009,2261,0.129,0.701,0.146,0.005,0.04,0.03,-0.078,-104.9993668,40.08501816
28900,"Denver",0.087027751,"CO",2449044,"urban",0.203,0.125,0.11,0.136,0.23,46181,0.441,17.396,0.267,0.472,0.03,3018,0,1.429,6.045,20.3,0.016,5826,-0.054,0.72,0.09,0.005,0.023,0.023,0.317,-105.1261368,39.87371445
29001,"Pratt",0.155172408,"KS",18232,"rural",0.016,0.004,0.004,0.005,0.706,35115,0.311,6.88,0.242,0.677,0.037,2894,0.2,1.905,6.334,13.7,0.11,1576,-0.044,0.642,0.053,0.007,0.009,0.007,2.265,-98.84619141,37.44801712
29002,"Coldwater",NA,"KS",1967,"rural",0,0,0,0,0.648,37696,0.211,NA,NA,NA,0.05,3294,0.2,1.905,10.5,9.6,NA,NA,NA,0.613,0.059,NA,NA,NA,0.777,-99.28066254,37.15994644
29003,"Dodge City",0.113309354,"KS",42837,"rural",0.151,0.016,0.014,0.009,0.62,31771,0.373,7.995,0.293,0.603,0.038,2324,0.2,1.905,5.524,16.4,0.023,1024,-0.086,0.678,0.202,0.006,0.008,0.012,0.719,-99.93192291,37.61029816
29004,"Great Bend",0.131280392,"KS",47227,"rural",0.096,0.014,0.015,0.012,0.59,33946,0.288,5.615,0.232,0.67,0.032,2292,0.2,1.905,6.736,14.1,0.021,896,-0.028,0.642,0.1,0.006,0.01,0.01,1.878,-99.02153778,38.21062469
29005,"Hutchinson",0.10738916,"KS",82076,"rural",0.082,0.043,0.032,0.047,0.522,33452,0.352,8.738,0.265,0.629,0.029,2086,0.2,1.905,6.078,14.6,0.024,2482,-0.036,0.621,0.155,0.006,0.014,0.016,1.055,-98.19816589,38.24101257
